,address,checkins,city,country,created,icon,id,latitude,longitude,title,type,updated
345,Кутузовский просп. 2К1,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5967,55.751448,37.565556,Арт-клуб,3,1425188542.0
346,Ленинский просп. 69,23,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5968,55.69009,37.550213,Нэцкэ,3,1436430295.0
347,Земляной Вал 59,10,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5969,55.749035,37.657341,Американский бар & гриль,3,1488567646.0
348,Плющиха 20К2,10,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5970,55.743629,37.577903,Гурман,3,1484252570.0
350,Первомайская 46-50,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5972,55.771889,37.759407,Голодные утки,3,
351,Перерва 43,1,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5973,55.659835,37.747616,Девятка,3,1327949029.0
353,Ленинский просп. 32а,557,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5975,55.710393,37.578954,Sky Lounge,3,1529439670.0
364,Дорогомиловская 12а,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5986,55.746527,37.561113,Маленькая Япония,3,1410882963.0
373,Химкинский б-р 14К1,26,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,5995,55.852359,37.446327,Аморино,3,1510066734.0
374,Тверская-Ямская 2К1,12,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,5996,55.772634,37.597288,Американский бар & гриль,3,1479922878.0
405,Лермонтовский просп. 19К1,12,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6027,55.700745,37.85444,Японский дворик,3,1513346662.0
406,Рязанский просп. 34К2,54,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6028,55.717807,37.787134,Три кабана,3,1498237476.0
407,Рочдельская 11К1,1,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6029,55.756153,37.570896,Арагоста,3,1348393271.0
410,Кутузовский просп. 10,20,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6032,55.748665,37.558553,Шоколадница,3,1510394547.0
411,Цветной б-р 7,23,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6033,55.769322,37.620775,Лаваш,3,1494690738.0
412,Б.Садовая 2К46,41,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6034,55.765736,37.591239,Волконский,3,1527499126.0
413,3-й Крутицкий пер. 13,16,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6035,55.730679,37.663399,Кружка,3,1520182514.0
417,просп. Вернадского 6,33,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6039,55.692191,37.527737,Torro Grill,3,1520094693.0
420,47-й км Калужского ш. ,13,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6042,55.65434,37.441741,Калужская застава,3,1505642946.0
421,Садовая-Триумфальная 4К10,222,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6043,55.770352,37.599213,Де Марко,3,1527583991.0
422,Садовая-Кудринская 11,0,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6044,55.763771,37.58703,Зер Гут,3,1280941624.0
423,Неглинная 8К1,2,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6045,55.7613,37.620702,Guylian,3,1400434033.0
424,Спиридоньевский пер. 12К9,24,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6046,55.762953,37.596338,Мамина паста,3,1437078277.0
425,Б.Овчинниковский пер. 16,24,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6047,55.744475,37.630122,Шыкыдым,3,1523791285.0
429,Куусинена 8а,114,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6051,55.783838,37.519881,Березовая роща,3,1528369925.0
430,Чистопрудный б-р 16К1,0,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6052,55.75955,37.644757,Капучино-экспресс,3,1352898753.0
431,Волгоградскийпросп. 26,3,1.0,1,1280742123,https://vk.com/images/places/restaraunt.png,6053,55.725721,37.68129,Инсадонг,3,1380625554.0
